smile,penalized_logp
CN=COC(N)=O,-2.834901201287067
OC12CCC1C2C=O,-3.0485565373301493
[NH3+]C1CCC1C([O-])=O,-6.22145894974639
[NH3+]C1COC1C([O-])=O,-7.283040778352689
NC(=O)N1CC=CC1,-1.5359730337140818
NC(=O)N1CCN=C1,-2.7246665687241163
C1OC2CC1CC=C2,-6.669986022399803
NC(=O)N1CC2CC12,-2.45348064654784
NC(=O)N1C2CC1C2,-2.0315143795661172
[O-]C(=O)C1C2CC1[NH2+]2,-8.07309208125259
NC(=O)N1C2CCC12,-2.170337935300254
C1CC=CCC=CC1,-6.702026764760557
C1CC=CCN=CO1,-9.281092987549034
C1CC=CCCC=C1,-6.229350244087628
C1CCC=CC=CC1,-6.217236535652484
C1CCCC=CCC1,-5.464651856311679
C1CCOC=NCC1,-8.143228781744131
C1COC=NCCO1,-9.425662871621565
C1COCCC=CC1,-6.890527540512948
C1COCCCOC1,-6.881702683541046
C1CC2OC2CC=C1,-4.763820892780765
C1=NC=C2N=CN=CN12,-1.4640040103265055
C1C2C=CC3=C2N1C=C3,-8.945765465429846
C1C2OC2C2=NC=CN12,-2.848720766259612
C1C2CCC3=C2N1C=C3,-8.189237288240648
C1C2CCC3=C2N1C=N3,-8.860521027233112
C1C2CNC3=C2N1C=C3,-9.148980408530582
C1C2CNC3=C2N1C=N3,-9.809737283644855
C1C2COC3=C2N1C=C3,-9.021925077682255
C1C2COC3=C2N1C=N3,-9.764429726232837
C1C2NCC3=C2N1C=N3,-10.25928454564614
C1C2OCC3=C2N1C=C3,-9.151795430252063
O1C=NC=C2N=CN=C12,-0.9133992600230636
N1C=CC=CC=CC=C1,-10.103715510491053
N1C=CC=CC=CN=C1,-10.733463973012643
N1C=CC=CC=NC=C1,-10.900306459657166
N1C=CC=CN=CC=C1,-11.060541201237298
N1C=CC=CN=CN=C1,-11.729517766673759
N1C=CC=NC=CN=C1,-11.64675483687281
N1C=CC=NC=NC=C1,-11.863973689054813
N1C=CN=CC=CN=C1,-11.498302061585337
N1C=CN=CC=NC=C1,-11.653362581937202
N1C=CN=CN=CN=C1,-12.516387824590579
N1C=NC=CC=CN=C1,-11.531322329518854
N1C=NC=CN=CN=C1,-12.483841296293892
O1C=CC=CC=CC=C1,-9.907093479089655
O1C=CC=CC=CN=C1,-10.783069655970728
O1C=CC=CC=NC=C1,-10.792064556607732
O1C=CC=CN=CC=C1,-10.919506671378537
O1C=CC=CN=CN=C1,-11.703417394680857
O1C=CC=NC=CN=C1,-11.751948021373533
O1C=CC=NC=NC=C1,-11.811319287548017
O1C=CN=CC=CN=C1,-11.636287872895386
O1C=CN=CC=NC=C1,-11.633500807239734
O1C=CN=CN=CN=C1,-12.578667580949642
O1C=NC=CC=CN=C1,-11.694262530010636
OC1=CC=CN=CC1=O,-4.02103862013365
C#CC1CC=CCC=C1,-5.443016370557226
C(OC1COC1)C1CO1,-1.4342295037620705
C1=C2C3C4C1N1C4C3C21,-5.738910326213086
C1=C2C3C4C2C2C1C2N34,-8.3751279657709
C1=C2C3C4C5C1C5C2N34,-4.882864409637804
C1C2=CC3C=C1C1C3C21,-6.688934266109978
C1C2=CC3N=C1N1C3C21,-8.10157114814738
C1C2C1C1CC2CC=C1,-5.778535042832493
C1C2OC=NC1C1OC21,-5.1790121645386495
C1CC2OC(C1)C1OC21,-6.366164905918614
C1CC2OC(O1)C1OC21,-7.424515444543333
C1OCC2NC1C1OC21,-8.567046712642055
C1C2C3C2C2C4C1C4C32,-6.698357507078853
C1C2C3C2N2C4C1C4C32,-8.893993039741744
C1C2C3C4C(C5C1N45)N23,-9.754208403692068
O1C2C3C2C2C4C1C4C32,-7.984003301876948
C1C2OC3CN4C2C4C13,-5.199132818197523
C1C2C3C4C1C1C2C3C41,-6.698357507078853
C1C2C3C4C1C1C2C3N41,-8.50031189688718
C1C2C3C4C1N1C2C3C41,-8.93485047283
C1C2C3C4C5C(C2N35)N14,-6.219273953617984
O1C2C3C4C1C1C2C3C41,-7.984003301876948
C1C2C3C4C5C2C1C5N34,-4.554332857279814
O1C2C3C4C5C2C1C5N34,-5.360597206842959
C1C2C3C4C3C1N1C4C21,-8.881108710132164
C1C2C3C4C3N3C2C3C14,-8.893993039741744
C1C2C3C4C5C2C5C1C34,-6.698357507078853
O1C2C3C4C3N3C2C3C14,-9.625351154519983
C1C2C3C2C2C4C3N4C12,-4.495090792824467
C1C2C3C2N2C4C2C3C14,-8.197750119876615
C1C2C3C4C(C5C3N25)N14,-9.209827736321987
O1C2C3C2C2C1C1C3N21,-5.379122272381959
C1N=CN2C3C4OC13C24,-6.630067579757741
C1C2C3C2C2OC1OC32,-8.374664207810415
C1C2C3C4OC1OC2C34,-5.236884453931092
C1C2C3OC1CC1C3N21,-8.921647201560193
C1N2C3C=C4COC13C24,-6.54283963943376
